die Tasche||le sac|||||
das Kleid||la robe|||||
das Kleidungsstück||le vêtement|||||
die Kleidung||les vêtements|||||
die Hose||le pantalon|||||
der Schuh||la chaussure|||||
leicht||léger|||||
leicht||légère|||||
das Hemd||la chemise|||||
der Hut||le chapeau|||||
der Mantel||le manteau|||||
der Rock||la jupe|||||
(etwas) anziehen||mettre (quelque chose)|||||
lang||long|||||
lang||longue|||||
kurz||court|||||
kurz||courte|||||
eine Socke||une chaussette|||||
eine Jacke||une veste|||||
ein Gürtel||une ceinture|||||
ein Stiefel||une botte|||||
eine Jeans||un jean|||||
die Strumpfhose||les collants|||||
einfach||simple|||||
der Anzug||le costume|||||
der Handschuh||le gant|||||
der Geldbeutel||le portefeuille|||||
(etwas) tragen||porter (quelque chose)|||||
der Pulli||le pull|||||
weit||large|||||
die Mütze||le bonnet|||||
die Unterhose||la culotte|||||
die Bluse||le chemisier|||||
ein Schal||une écharpe|||||
der Knopf||le bouton|||||
die Tasche||la poche|||||
