schwarz||noire|||||
allein(mask)||seul|||||
allein(fem)||seule|||||
kalt(mask)||froid|||||
kalt(fem)||froide|||||
warm(mask)||chaud|||||
warm(fem)||chaude|||||
sauber||propre|||||
klein(mask)||petit|||||
klein(fem)||petite|||||
jung||jeune|||||
einfach||facile|||||
dick||gros|||||
schmutzig||sale|||||
stark(mask)||fort|||||
stark(fem)||forte|||||
neu(mask)||nouveau|||||
neu(fem)||nouvelle|||||
dick||grosse|||||
groß(mask)||grand|||||
groß(fem)||grande|||||
schlecht(mask)||mauvais|||||
schlecht(fem)||mauvaise|||||
rund(mask)||rond|||||
rund(fem)||ronde|||||
hübsch(mask)||joli|||||
hübsch(fem)||jolie|||||
perfekt(mask)||parfait|||||
perfekt(fem)||parfaite|||||
