mein Hund||mon chien|||||
meine Maus||ma souris|||||
meine Hunde||mes chiens|||||
meine Mäuse||mes souris|||||
dein Hund||ton chien|||||
deine Maus||ta souris|||||
deine Hunde||tes chiens|||||
deine Mäuse||tes souris|||||
sein Hund||son chien|||||
seine Maus||sa souris|||||
seine Hunde||ses chiens|||||
seine Mäuse||ses souris|||||
ihr Hund||son chien|||||
ihre Maus||sa souris|||||
ihre Hunde||ses chiens|||||
ihre Mäuse||ses souris|||||
unser Hund||notre chien|||||
unsere Maus||notre souris|||||
unsere Hunde||nos chiens|||||
unsere Mäuse||nos souris|||||
euer Hund||votre chien|||||
eure Maus||votre souris|||||
eure Hunde||vos chiens|||||
eure Mäuse||vos souris|||||
ihr Hund||leur chien|||||
ihre Maus||leur souris|||||
ihre Hunde||leurs chiens|||||
ihre Mäuse||leurs souris|||||
