etwas lesen||lire quelque chose|||||
etwas schreiben||écrire quelque chose|||||
sprechen||parler|||||
etwas essen||manger quelque chose|||||
jemanden lieben||aimer quelqu'un|||||
etwas mögen||aimer quelque chose|||||
etwas sehen||voir quelque chose|||||
etwas trinken||boire quelque chose|||||
etwas verstehen||comprendre quelque chose|||||
etwas wollen||vouloir quelque chose|||||
etwas lieben||adorer quelque chose|||||
etwas bringen||apporter quelque chose|||||
man braucht etwas||il faut quelque chose|||||
kommen||venir|||||
etwas kaufen||acheter quelque chose|||||
etwas beginnen||commencer quelque chose|||||
etwas hören||entendre quelque chose|||||
etwas suchen||chercher quelque chose|||||
jemandem helfen||aider quelqu'un|||||
etwas hassen||détester quelque chose|||||
jemanden anrufen||appeler quelqu'un|||||
etwas lernen||apprendre quelque chose|||||
auf jemanden warten||attendre quelqu'un|||||
etwas machen||faire quelque chose|||||
dunkel sein||faire noir|||||
warm sein||faire chaud|||||
kalt sein||faire froid|||||
etwas bestellen||commander quelque chose|||||
etwas kennen||connaître quelque chose|||||
etwas betrachten||regarder quelque chose|||||
